REF_DATE,GEO,DGUID,Measure,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jan-22,"Weighted average, cities measured",,Amphetamine,Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927744,1.1.1,122.18,,,,2
Feb-22,"Weighted average, cities measured",,Amphetamine,Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927744,1.1.1,89.28,,,,2
Mar-22,"Weighted average, cities measured",,Amphetamine,Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927744,1.1.1,115.72,,,,2
Apr-22,"Weighted average, cities measured",,Amphetamine,Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927744,1.1.1,110.88,,,,2
May-22,"Weighted average, cities measured",,Amphetamine,Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927744,1.1.1,113.62,,,,2
Jun-22,"Weighted average, cities measured",,Amphetamine,Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927744,1.1.1,222.14,,,,2
Jul-22,"Weighted average, cities measured",,Amphetamine,Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927744,1.1.1,122.74,,,,2
Aug-22,"Weighted average, cities measured",,Amphetamine,Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927744,1.1.1,111.02,,,,2
Sep-22,"Weighted average, cities measured",,Amphetamine,Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927744,1.1.1,120.28,,,,2
Oct-22,"Weighted average, cities measured",,Amphetamine,Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927744,1.1.1,160.70,,,,2
Nov-22,"Weighted average, cities measured",,Amphetamine,Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927744,1.1.1,114.68,,,,2
Dec-22,"Weighted average, cities measured",,Amphetamine,Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927744,1.1.1,131.48,,,,2
Jan-23,"Weighted average, cities measured",,Amphetamine,Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927744,1.1.1,91.30,,,,2
Mar-23,"Weighted average, cities measured",,Amphetamine,Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927744,1.1.1,78.70,,,,2
May-23,"Weighted average, cities measured",,Amphetamine,Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927744,1.1.1,112.48,,,,2
Jan-22,"Weighted average, cities measured",,Cannabis (THC-COOH),Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927749,1.2.1,343.36,,,,2
Feb-22,"Weighted average, cities measured",,Cannabis (THC-COOH),Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927749,1.2.1,358.06,,,,2
Mar-22,"Weighted average, cities measured",,Cannabis (THC-COOH),Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927749,1.2.1,372.04,,,,2
Apr-22,"Weighted average, cities measured",,Cannabis (THC-COOH),Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927749,1.2.1,419.94,,,,2
May-22,"Weighted average, cities measured",,Cannabis (THC-COOH),Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927749,1.2.1,438.12,,,,2
Jun-22,"Weighted average, cities measured",,Cannabis (THC-COOH),Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927749,1.2.1,491.40,,,,2
Jul-22,"Weighted average, cities measured",,Cannabis (THC-COOH),Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927749,1.2.1,477.12,,,,2
Aug-22,"Weighted average, cities measured",,Cannabis (THC-COOH),Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927749,1.2.1,452.84,,,,2
Sep-22,"Weighted average, cities measured",,Cannabis (THC-COOH),Load per capita (milligrams per one thousand people per day),Milligrams per one thousand people per day (mg/1000 people/day),442,units,0,v1566927749,1.2.1,410.38,,,,2
